brand,model,trans.,fuel,millage,disp.,year
Toyota,Rav4,Automatic,Petrol,33000,2000,2015
Toyota,Fortuner,Automatic,Diesel,132000,3000,2009
Volkswagen,Golf,Automatic,Petrol,115489,1400,2011
Bmw,116i,Automatic,Petrol,78000,1600,2011
Bmw,528i,Automatic,Petrol,80000,3000,2012
Honda,Cr-v,Automatic,Petrol,150000,2000,2010
Nissan,Wingroad,Automatic,Petrol,159480,1490,2012
Mercedes-benz,C200,Automatic,Petrol,89000,1790,2013
Toyota,Axio,Automatic,Petrol,37000,1500,2015
Toyota,Premio,Automatic,Petrol,7000,1800,2014
Mercedes-benz,C180,Automatic,Petrol,31000,1600,2014
Toyota,Hilux,Manual,Diesel,85000,3000,2013
Mazda,Cx-5,Automatic,Diesel,97281,2000,2013
Volkswagen,Passat,Automatic,Petrol,69560,1380,2013
Suzuki,Alto,Automatic,Petrol,87000,900,2014
Toyota,Hilux,Manual,Diesel,160858,3000,2013
Nissan,Note,Automatic,Petrol,98000,1200,2013
Nissan,Serena,Automatic,Petrol,75656,2000,2013
Toyota,Passo,Automatic,Petrol,99000,1000,2013
Nissan,X-trail,Automatic,Petrol,80000,2000,2013
Mazda,Cx-5,Automatic,Diesel,115000,2200,2013
Nissan,March,Automatic,Petrol,43033,1200,2012
Toyota,Axio,Automatic,Petrol,130000,1500,2008
Subaru,Forester,Automatic,Petrol,50000,2000,2013
Toyota,Mark x,Automatic,Petrol,50000,2500,2013
Nissan,Note,Automatic,Petrol,115979,1300,2013
Mercedes-benz,E-class,Automatic,Diesel,100000,3500,2012
Bmw,520i,Automatic,Petrol,122000,3000,2004
Toyota,Hiace,Automatic,Diesel,139727,2700,2005
Volkswagen,Golf,Automatic,Petrol,91129,1200,2013
Land rover,Defender-110,Manual,Diesel,215792,2500,2005
Mercedes-benz,C200,Automatic,Diesel,32000,1800,2010
Toyota,Fielder,Automatic,Petrol,146000,1500,2002
Nissan,Caravan,Manual,Diesel,123456,2500,2003
Nissan,Note,Automatic,Petrol,109000,1190,2013
Nissan,Note,Automatic,Petrol,127000,1300,2013
Toyota,Auris,Automatic,Petrol,80000,1500,2013
Suzuki,Swift,Automatic,Petrol,91000,1240,2013
Mitsubishi,Outlander,Automatic,Petrol,73514,2400,2013
Toyota,Allion,Automatic,Petrol,123000,1490,2013
Mazda,Cx-5,Automatic,Diesel,90000,2200,2013
Toyota,Passo,Automatic,Petrol,58000,1000,2013
Mitsubishi,Outlander,Automatic,Petrol,58000,2000,2012
Toyota,Fielder,Automatic,Petrol,63600,1500,2014
Land rover,Defender,Manual,Diesel,203735,2500,1997
Bmw,X3,Automatic,Diesel,53000,2000,2013
Volkswagen,Tiguan,Automatic,Petrol,103000,2000,2013
Toyota,Vitz,Automatic,Petrol,77000,1000,2012
Toyota,Alphard,Automatic,Petrol,87700,2400,2013
Mercedes-benz,E250,Automatic,Petrol,60000,1800,2013
Nissan,Note,Automatic,Petrol,88000,1200,2013
Toyota,Hilux,Manual,Diesel,138000,3000,2013
Nissan,Serena,Automatic,Petrol,103000,2000,2013
Suzuki,Swift,Automatic,Petrol,87712,1200,2013
Toyota,Premio,Automatic,Petrol,90000,1800,2014
Toyota,Land cruiser prado,Automatic,Diesel,137000,3000,2009
Nissan,Vanette,Automatic,Petrol,107000,1600,2013
Toyota,Mark x,Automatic,Petrol,62000,2500,2012
Toyota,Auris,Automatic,Petrol,50000,1500,2013
Nissan,X-trail,Automatic,Petrol,51442,2000,2012
Nissan,Note,Automatic,Petrol,80000,1500,2013
Toyota,Vitz,Automatic,Petrol,96133,1300,2012
Nissan,March,Automatic,Petrol,37838,1000,2013
Mazda,Axela,Automatic,Petrol,86000,1500,2011
Mitsubishi,Lancer,Automatic,Petrol,131170,2000,2013
Volkswagen,Tiguan,Automatic,Petrol,41000,2000,2014
Mazda,Cx-5,Automatic,Diesel,56913,2200,2013
Toyota,Rav4,Automatic,Diesel,74000,2300,2013
Subaru,Legacy,Automatic,Petrol,85000,2500,2013
Toyota,Fielder,Automatic,Petrol,93512,1500,2013
Volkswagen,Tiguan,Automatic,Petrol,51000,1380,2013
Toyota,Vanguard,Automatic,Petrol,135758,2400,2010
Toyota,Vellfire,Automatic,Petrol,93000,2400,2013
Toyota,Townace,Automatic,Petrol,201000,1490,2012
Toyota,Crown,Automatic,Petrol,82517,2500,2013
Subaru,Impreza,Automatic,Petrol,76000,1500,2013
Nissan,Bluebird,Automatic,Petrol,140000,2000,2006
Toyota,Vitz,Automatic,Petrol,21901,1320,2013
Toyota,Axio,Automatic,Petrol,80000,1500,2014
Toyota,Ractis,Automatic,Petrol,110300,1300,2010
Volkswagen,Jetta,Automatic,Petrol,58899,1400,2014
Subaru,Outback,Automatic,Petrol,172204,2500,2013
Nissan,Nv200,Automatic,Petrol,63000,1800,2013
Toyota,Alphard,Automatic,Petrol,99000,2500,2013
Toyota,Vanguard,Automatic,Petrol,75000,2400,2011
Nissan,Note,Automatic,Petrol,88000,1500,2012
Nissan,Bluebird,Automatic,Petrol,62000,1800,2013
Mazda,Demio,Automatic,Petrol,74000,1300,2013
Toyota,Mark x,Automatic,Petrol,70000,2490,2012
Bmw,535i,Automatic,Petrol,73865,3000,2012
Mazda,Axela,Automatic,Petrol,75000,1500,2014
Toyota,Noah,Automatic,Petrol,122000,1980,2013
Toyota,Hilux,Automatic,Diesel,105000,3000,2013
Mercedes-benz,C200,Automatic,Petrol,66000,1800,2013
Toyota,Passo,Automatic,Petrol,70000,1000,2012
Mercedes-benz,C180,Automatic,Petrol,67000,1790,2013
Mazda,Atenza,Automatic,Petrol,98541,2000,2013
Nissan,Murano,Automatic,Petrol,92000,2480,2013
Subaru,Outback,Automatic,Petrol,99881,2500,2014
Mitsubishi,Rvr,Automatic,Petrol,35000,1790,2014
Honda,Cr-v,Automatic,Petrol,48000,2000,2012
Toyota,Fielder,Automatic,Petrol,68000,1500,2015
Bmw,X3,Automatic,Diesel,128000,2000,2013
Toyota,Premio,Automatic,Petrol,40100,1500,2013
Volkswagen,Golf,Automatic,Petrol,75502,1400,2013
Bmw,320i,Automatic,Petrol,100000,2000,2009
Toyota,Auris,Automatic,Petrol,64000,1500,2013
Toyota,Allion,Automatic,Petrol,123000,1490,2013
Mercedes-benz,B180,Automatic,Petrol,71000,1600,2013
Volkswagen,Passat,Automatic,Petrol,96000,1400,2013
Nissan,Note,Automatic,Petrol,82000,1190,2013
Toyota,Rush,Automatic,Petrol,44000,1500,2012
Toyota,Fielder,Automatic,Petrol,66000,1500,2011
Nissan,Advan,Automatic,Petrol,130000,1500,2013
Mazda,Cx-5,Automatic,Diesel,82000,2200,2013
Toyota,Auris,Automatic,Petrol,77000,1490,2013
Toyota,Sienta,Automatic,Petrol,113000,1500,2014
Toyota,Land cruiser prado,Automatic,Petrol,137000,2700,2008
Volkswagen,Golf,Automatic,Petrol,79665,1200,2014
Nissan,X-trail,Automatic,Petrol,51000,2000,2013
Honda,Fit,Automatic,Petrol,76000,1300,2013
Toyota,Hiace,Automatic,Diesel,70000,3000,2013
Mercedes-benz,C200,Automatic,Petrol,14000,1800,2013
Toyota,Vitz,Automatic,Petrol,72000,1300,2013
Toyota,Ractis,Automatic,Petrol,22000,1300,2013
Volkswagen,Golf,Automatic,Petrol,50000,1400,2013
Volkswagen,Tiguan,Automatic,Petrol,66000,1400,2013
Mercedes-benz,E300,Automatic,Diesel,32000,3000,2012
Nissan,Serena,Automatic,Petrol,160000,2000,2012
Volkswagen,Touareg,Automatic,Petrol,83729,3600,2010
Mercedes-benz,C180,Manual,Petrol,123456,1800,1996
Land rover,Discovery,Automatic,Diesel,107000,3000,2010
Bmw,535i,Automatic,Petrol,73000,3000,2012
Land rover,Range-rover-sport,Automatic,Diesel,143000,3600,2010
Mitsubishi,Rvr,Automatic,Petrol,29000,1000,2013
Volkswagen,Golf,Automatic,Petrol,115471,1200,2011
Mercedes-benz,S-class,Automatic,Petrol,94000,2800,2002
Land rover,Discovery,Automatic,Diesel,107457,3000,2010
Toyota,Vanguard,Automatic,Petrol,105000,2400,2010
Mercedes-benz,C200,Manual,Petrol,123456,1800,1996
Bmw,X1,Automatic,Petrol,136000,3000,2011
Mercedes-benz,E350,Automatic,Petrol,57000,3500,2012
Mercedes-benz,E350,Automatic,Petrol,85000,3500,2011
Subaru,Forester,Manual,Petrol,120036,1994,1998
Nissan,Sylphy,Automatic,Petrol,76072,1800,2013
Toyota,Vanguard,Automatic,Petrol,23000,2400,2013
Toyota,Vitz,Automatic,Petrol,76000,1000,2013
Suzuki,Swift,Automatic,Petrol,89000,1300,2013
Toyota,Vellfire,Automatic,Petrol,95000,2400,2013
Nissan,Note,Automatic,Petrol,95000,1200,2014
Toyota,Vitz,Automatic,Petrol,93372,1000,2013
Toyota,Fortuner,Automatic,Diesel,75000,3000,2013
Toyota,Axio,Automatic,Petrol,95000,1500,2013
Mercedes-benz,S350,Automatic,Petrol,43000,3500,2011
Land rover,Discovery-iv,Automatic,Diesel,136623,3000,2012
Toyota,Porte,Automatic,Petrol,109882,1320,2014
Suzuki,Alto,Automatic,Petrol,70000,650,2013
Toyota,Hilux,Automatic,Diesel,63000,3000,2013
Toyota,Prius,Automatic,Petrol,120494,1790,2013
Toyota,Succeed,Automatic,Petrol,65000,1500,2015
Volkswagen,Golf,Automatic,Petrol,78000,1400,2013
Subaru,Forester,Automatic,Petrol,90000,2000,2013
Toyota,Axio,Automatic,Petrol,82000,1500,2013
Toyota,Rav4,Automatic,Petrol,63000,2400,2014
Toyota,Hilux,Manual,Diesel,101000,3000,2012
Toyota,Noah,Automatic,Petrol,56112,2000,2013
Mitsubishi,Pajero,Automatic,Diesel,89056,3000,2011
Mazda,Demio,Automatic,Petrol,86000,1300,2013
Subaru,Forester,Automatic,Petrol,104352,2000,2008
Mercedes-benz,E250,Automatic,Petrol,45151,1800,2013
Mazda,Demio,Automatic,Petrol,108986,1300,2013
Toyota,Hilux,Automatic,Petrol,111000,2700,2008
Mitsubishi,Canter,Manual,Diesel,129000,3000,2014
Mazda,Cx-5,Automatic,Diesel,105000,2000,2013
Toyota,Vitz,Automatic,Petrol,92000,990,2013
Toyota,Spade,Automatic,Petrol,61000,1500,2013
Volkswagen,Passat,Automatic,Petrol,54080,1380,2013
Mazda,Demio,Automatic,Petrol,67000,1300,2013
Volkswagen,Golf,Automatic,Petrol,42000,1400,2013
Toyota,Hilux,Manual,Diesel,90000,2500,2013
Mercedes-benz,E250,Automatic,Petrol,51000,1800,2012
Mitsubishi,Rvr,Automatic,Petrol,35000,1790,2013
Honda,Insight,Automatic,Petrol,96000,1330,2011
Mercedes-benz,E250,Automatic,Petrol,113000,1800,2010
Toyota,Hilux,Automatic,Diesel,52150,2982,2014
Honda,Fit,Automatic,Petrol,97575,1300,2012
Mitsubishi,Pajero,Automatic,Diesel,75700,3200,2012
Mitsubishi,Galant,Automatic,Petrol,126000,1800,2013
Toyota,Hilux,Manual,Diesel,103456,3000,2010
Mazda,Demio,Automatic,Petrol,110986,1300,2013
Toyota,Fortuner,Automatic,Diesel,77000,3000,2013
Nissan,Hardbody,Manual,Petrol,180000,2000,2001
Toyota,Townace,Automatic,Petrol,125000,1800,1999
Toyota,Axio,Automatic,Petrol,74000,1500,2013
Nissan,Note,Automatic,Petrol,85000,1200,2014
Toyota,Fielder,Automatic,Petrol,97000,1500,2013
Nissan,March,Automatic,Petrol,38974,1200,2014
Bmw,X5,Automatic,Petrol,174247,3000,2012
Toyota,Voxy,Automatic,Petrol,99784,2000,2014
Nissan,Dualis,Automatic,Petrol,70600,1990,2013
Mercedes-benz,C180,Automatic,Petrol,52017,1800,2013
Toyota,Vitz,Automatic,Petrol,67000,1300,2013
Nissan,Latio,Automatic,Petrol,88150,1190,2013
Nissan,Latio,Automatic,Petrol,88000,1190,2013
Mitsubishi,Outlander,Automatic,Petrol,63000,2000,2012
Suzuki,Escudo,Automatic,Petrol,41000,2400,2013
Nissan,X-trail,Automatic,Petrol,79000,2000,2013
Mazda,Cx-5,Automatic,Petrol,88075,2000,2012
Mercedes-benz,E250,Automatic,Petrol,114000,1800,2010
Mazda,Demio,Manual,Petrol,65000,1300,2013
Toyota,Wish,Automatic,Petrol,75435,1800,2013
Mercedes-benz,E200,Automatic,Petrol,58227,1800,2013
Volkswagen,Passat,Automatic,Petrol,90000,1400,2012
Mazda,Premacy,Automatic,Petrol,51000,2000,2013
Volkswagen,Touareg,Automatic,Diesel,103000,3000,2011
Mazda,Cx-5,Automatic,Diesel,99882,2200,2013
Honda,Stepwagon,Automatic,Petrol,99307,2000,2013
Toyota,Hilux,Automatic,Diesel,99000,3000,2015
Nissan,Note,Automatic,Petrol,101000,1200,2013
Toyota,Hilux,Automatic,Diesel,94661,2500,2014
Toyota,Porte,Automatic,Petrol,109000,1320,2014
Toyota,Vitz,Automatic,Petrol,32075,1330,2014
Subaru,Forester,Automatic,Petrol,120000,1990,2013
Toyota,Mark x,Automatic,Petrol,142000,2500,2012
Toyota,Allion,Automatic,Petrol,19000,1800,2013
Volkswagen,Tiguan,Automatic,Petrol,75000,2000,2011
Volkswagen,Jetta,Automatic,Petrol,63000,1400,2013
Nissan,Sylphy,Automatic,Petrol,126000,2000,2009
Mercedes-benz,E350,Automatic,Petrol,151332,3500,2010
Nissan,Hardbody,Manual,Diesel,186534,3000,2002
Honda,Insight,Automatic,Petrol,41000,1300,2014
Honda,Vezel-hr-v,Automatic,Petrol,55000,1500,2014
Nissan,Skyline,Automatic,Petrol,70732,2500,2012
Nissan,Tiida,Automatic,Petrol,87000,1200,2013
Toyota,Land cruiser prado,Automatic,Diesel,184422,3000,1996
Toyota,Axio,Automatic,Petrol,117000,1500,2013
Volkswagen,Golf,Automatic,Petrol,44000,1400,2013
Suzuki,Alto,Automatic,Petrol,150000,650,2013
Mercedes-benz,E250,Automatic,Petrol,29000,1800,2013
Toyota,Axio,Automatic,Petrol,93000,1500,2014
Volkswagen,Golf,Automatic,Petrol,89000,1400,2013
Toyota,Hilux,Manual,Diesel,89000,3000,2013
Nissan,Note,Automatic,Petrol,78418,1200,2013
Nissan,Lafesta,Automatic,Petrol,72000,2000,2013
Mazda,Demio,Automatic,Petrol,101000,1300,2014
Mitsubishi,Mirage,Automatic,Petrol,79000,1000,2013
Mercedes-benz,C200,Automatic,Petrol,72000,1800,2011
Volkswagen,Tiguan,Automatic,Petrol,42224,2000,2013
Volkswagen,Passat,Automatic,Petrol,54000,1380,2013
Nissan,Sylphy,Automatic,Petrol,75515,1800,2013
Toyota,Rav4,Automatic,Petrol,29484,2400,2013
Mitsubishi,Outlander,Automatic,Petrol,96000,1990,2012
Toyota,Sienta,Automatic,Petrol,75845,1500,2014
Mercedes-benz,E250,Automatic,Petrol,56109,2000,2013
Volkswagen,Golf,Automatic,Petrol,47724,1400,2013
Toyota,Land cruiser prado,Automatic,Diesel,145000,3000,2007
Honda,Insight,Automatic,Petrol,110000,1330,2013
Nissan,Note,Automatic,Petrol,72000,1200,2013
Mazda,Cx-5,Automatic,Diesel,73000,2200,2013
Toyota,Hilux,Manual,Diesel,84000,3000,2013
Mitsubishi,Rvr,Automatic,Petrol,120282,1800,2012
Nissan,Note,Automatic,Petrol,100000,1200,2013
Subaru,Impreza,Automatic,Petrol,103000,2000,2012
Mazda,Demio,Automatic,Petrol,103233,1300,2013
Toyota,Mark x,Automatic,Petrol,49000,2500,2012
Mazda,Demio,Automatic,Petrol,48147,1290,2013
Subaru,Outback,Automatic,Petrol,140000,2500,2009
Land rover,Discovery-iv,Automatic,Diesel,91000,3000,2012
Honda,Fit,Automatic,Petrol,161431,1300,2013
Toyota,Noah,Automatic,Petrol,86000,2000,2013
Toyota,Harrier,Automatic,Petrol,72000,2360,2013
Volkswagen,Golf,Automatic,Petrol,75000,1400,2013
Suzuki,Swift,Automatic,Petrol,50238,1200,2013
Toyota,Camry,Automatic,Petrol,45000,2000,2013
Toyota,Vitz,Automatic,Petrol,60000,1000,2013
Mercedes-benz,E220,Automatic,Diesel,106000,2143,2013
Volkswagen,Tiguan,Automatic,Petrol,78000,2000,2014
Toyota,Allion,Automatic,Petrol,119365,1800,2007
Toyota,Hiace,Automatic,Petrol,130000,2000,2014
Toyota,Fortuner,Automatic,Diesel,64000,3000,2013
Nissan,X-trail,Automatic,Petrol,72000,2000,2012
Nissan,Vanette,Automatic,Petrol,81052,1600,2013
Suzuki,Every,Automatic,Petrol,141000,650,2014
Toyota,Probox,Automatic,Petrol,23500,1490,2016
Honda,Cr-v,Automatic,Petrol,120352,2400,2012
Toyota,Harrier,Automatic,Petrol,65000,2400,2012
Toyota,Allion,Automatic,Petrol,60000,1490,2013
Mazda,Cx-5,Automatic,Diesel,74339,2200,2013
Toyota,Premio,Automatic,Petrol,153000,1800,2012
Suzuki,Alto,Automatic,Petrol,50000,660,2013
Toyota,Voxy,Automatic,Petrol,124869,2000,2010
Toyota,Regius van,Automatic,Diesel,74300,3000,2013
Subaru,Legacy,Automatic,Petrol,138000,2500,2010
Toyota,Harrier,Automatic,Petrol,55577,2000,2014
Toyota,Vitz,Automatic,Petrol,84000,1000,2013
Toyota,Auris,Automatic,Petrol,93000,1500,2013
Subaru,Legacy,Automatic,Petrol,65000,2500,2013
Subaru,Impreza,Automatic,Petrol,85000,2500,2010
Toyota,Axio,Automatic,Petrol,130396,1500,2013
Toyota,Succeed,Automatic,Petrol,41000,1490,2013
Suzuki,Swift,Automatic,Petrol,89000,1200,2013
Subaru,Forester,Automatic,Petrol,83000,2000,2013
Mercedes-benz,C250,Automatic,Petrol,86686,1800,2013
Honda,Cr-v,Automatic,Petrol,54906,2000,2013
Toyota,Vanguard,Automatic,Petrol,130000,2400,2008
Mercedes-benz,E300,Automatic,Petrol,67043,3000,2010
Toyota,Probox,Automatic,Petrol,84798,1500,2013
Subaru,Impreza,Automatic,Petrol,69030,1600,2014
Toyota,Vanguard,Automatic,Petrol,64000,2400,2012
Volkswagen,Passat,Automatic,Petrol,56000,1380,2013
Honda,Fit,Automatic,Petrol,70000,1330,2013
Subaru,Impreza,Automatic,Petrol,115832,1590,2013
Mazda,Axela,Automatic,Petrol,98000,1500,2013
Mazda,Biante,Automatic,Petrol,125000,2000,2013
Subaru,Impreza,Automatic,Petrol,74000,1500,2008
Nissan,Tiida,Automatic,Petrol,80000,1500,2009
Nissan,Dualis,Automatic,Petrol,90000,2000,2012
Mazda,Axela,Automatic,Petrol,92000,1500,2013
Nissan,Tiida,Automatic,Petrol,115000,1490,2011
Nissan,Sylphy,Automatic,Petrol,93000,1800,2013
Nissan,Note,Automatic,Petrol,34000,1300,2013
Volkswagen,Polo,Automatic,Petrol,42000,1400,2013
Nissan,Note,Automatic,Petrol,97000,1200,2013
Subaru,Impreza,Automatic,Petrol,110081,1500,2007
Nissan,X-trail,Automatic,Petrol,150000,2000,2009
Land rover,Defender-110,Manual,Diesel,123456,2500,2009
Mercedes-benz,C200,Automatic,Petrol,90000,1800,2010
Land rover,Range-rover-sport,Automatic,Diesel,50000,2700,2008
Toyota,Rav4,Automatic,Petrol,117200,2400,2009
Bmw,116i,Automatic,Petrol,70250,1600,2011
Bmw,X3,Automatic,Petrol,95000,3000,2009
Mercedes-benz,S350,Automatic,Petrol,77000,3500,2011
Land rover,Freelander,Manual,Petrol,55683,2000,2001
Subaru,Outback,Automatic,Petrol,142000,2500,2003
Nissan,Skyline,Automatic,Petrol,97000,2500,2011
Nissan,Bluebird,Automatic,Petrol,38000,1800,2013
Toyota,Premio,Automatic,Petrol,183194,1800,2008
Suzuki,Every,Automatic,Petrol,146000,650,2014
Mazda,Demio,Automatic,Petrol,135000,1290,2013
Toyota,Vitz,Automatic,Petrol,67000,1000,2013
Toyota,Hilux,Manual,Diesel,103000,2500,2013
Toyota,Estima,Automatic,Petrol,79807,2400,2013
Nissan,Latio,Automatic,Petrol,118000,1190,2013
Toyota,Land cruiser,Automatic,Petrol,133000,2700,2010
Toyota,Spade,Automatic,Petrol,70000,1300,2012
Nissan,Teana,Automatic,Petrol,67000,2490,2014
Nissan,Teana,Automatic,Petrol,45000,2500,2013
Nissan,March,Automatic,Petrol,52000,1200,2013
Subaru,Impreza,Automatic,Petrol,27000,1600,2014
Toyota,Hiace,Automatic,Diesel,165453,3000,2013
Mazda,Cx-5,Automatic,Diesel,97000,2200,2013
Mitsubishi,Mirage,Automatic,Petrol,71000,930,2013
Mitsubishi,Canter,Manual,Diesel,87000,3500,2015
Land rover,Defender-110,Manual,Diesel,170000,2500,1997
Honda,Cr-v,Automatic,Petrol,74000,1996,2013
Mitsubishi,Rvr,Automatic,Petrol,35000,1790,2014
Suzuki,Swift,Automatic,Petrol,85000,1200,2013
Subaru,Impreza,Automatic,Petrol,45000,1600,2014
Toyota,Fielder,Automatic,Petrol,35000,1500,2013
Toyota,Hilux,Manual,Diesel,149097,2500,2014
Subaru,Legacy,Automatic,Petrol,60000,2500,2013
Subaru,Legacy,Automatic,Petrol,105000,2490,2013
Subaru,Forester,Automatic,Petrol,67000,2000,2013
Toyota,Dyna,Manual,Diesel,179296,3000,2013
Nissan,March,Automatic,Petrol,76000,1000,2013
Mercedes-benz,E350,Automatic,Petrol,98000,3500,2011
Toyota,Probox,Automatic,Petrol,192000,1790,2012
Toyota,Axio,Automatic,Petrol,145000,1500,2009
Toyota,Fortuner,Automatic,Diesel,78000,3000,2013
Nissan,Serena,Automatic,Petrol,95217,2000,2013
Toyota,Hilux,Manual,Diesel,79207,3000,2014
Mercedes-benz,C180,Automatic,Petrol,58555,1790,2014
Toyota,Probox,Automatic,Petrol,96533,1300,2014
Nissan,Note,Automatic,Petrol,55000,1290,2013
Mercedes-benz,C200,Automatic,Petrol,54000,1800,2013
Toyota,Spade,Automatic,Petrol,98000,1500,2013
Toyota,Hilux,Manual,Diesel,161000,2990,2014
Toyota,Fortuner,Automatic,Diesel,67000,3000,2013
Toyota,Fielder,Automatic,Petrol,46000,1500,2015
Nissan,Note,Automatic,Petrol,47390,1200,2013
Mazda,Bongo,Automatic,Petrol,150000,1990,2009
Nissan,Navara,Automatic,Diesel,115000,2500,2007
Volkswagen,Jetta,Automatic,Petrol,54000,1400,2013
Subaru,Impreza,Automatic,Petrol,51000,1500,2008
Mazda,Demio,Automatic,Petrol,122583,1300,2012
Nissan,March,Automatic,Petrol,50000,1200,2013
Mazda,Cx-5,Automatic,Diesel,70000,2000,2013
Subaru,Forester,Automatic,Petrol,117896,1990,2013
Bmw,320i,Automatic,Petrol,47000,1800,2014
Mitsubishi,Galant,Automatic,Petrol,89000,1800,2013
Toyota,Hilux,Manual,Diesel,69230,2492,2013
Toyota,Vitz,Automatic,Petrol,70000,1300,2013
Suzuki,Escudo,Automatic,Petrol,105000,2390,2013
Toyota,Harrier,Automatic,Petrol,110000,2400,2012
Toyota,Crown,Automatic,Petrol,124000,2500,2013
Toyota,Premio,Automatic,Petrol,46000,1800,2013
Toyota,Harrier,Automatic,Petrol,113000,3500,2007
Nissan,March,Automatic,Petrol,60700,1190,2014
Toyota,Harrier,Automatic,Petrol,80000,2000,2013
Subaru,Legacy,Automatic,Petrol,130000,2500,2012
Nissan,Advan,Automatic,Petrol,87000,1500,2014
Nissan,Teana,Automatic,Petrol,11000,3450,2013
Toyota,Voxy,Automatic,Petrol,66000,2000,2013
Bmw,X3,Automatic,Petrol,29000,2500,2012
Toyota,Premio,Automatic,Petrol,6200,1800,2015
Toyota,Axio,Automatic,Petrol,98756,1500,2013
Toyota,Vitz,Automatic,Petrol,62000,1330,2013
Toyota,Auris,Automatic,Petrol,27000,1500,2012
Toyota,Harrier,Automatic,Petrol,106453,2400,2008
Toyota,Allion,Automatic,Petrol,27000,1500,2013
Mazda,Cx-5,Automatic,Diesel,124000,2200,2012
Suzuki,Escudo,Automatic,Petrol,66000,2400,2012
Toyota,Auris,Automatic,Petrol,48500,1500,2013
Mercedes-benz,C200,Automatic,Petrol,81000,1800,2013
Mercedes-benz,C200,Automatic,Petrol,114367,1800,2012
Mazda,Demio,Automatic,Petrol,80000,1300,2013
Subaru,Impreza,Automatic,Petrol,56000,2000,2012
Toyota,Hiace,Automatic,Petrol,131833,2000,2013
Toyota,Noah,Automatic,Petrol,97000,2000,2011
Nissan,Note,Automatic,Petrol,106000,1400,2013
Mazda,Biante,Automatic,Petrol,45000,2000,2014
Nissan,Note,Automatic,Petrol,72582,1200,2013
Mercedes-benz,E250,Automatic,Petrol,116000,1800,2012
Toyota,Sienta,Automatic,Petrol,53000,1490,2013
Nissan,Note,Automatic,Petrol,66000,1200,2014
Bmw,X3,Automatic,Petrol,113000,3000,2008
Toyota,Hiace,Automatic,Diesel,139000,3000,2015
Suzuki,Swift,Automatic,Petrol,87000,1240,2013
Toyota,Alphard,Automatic,Petrol,81000,2400,2012
Subaru,Legacy,Automatic,Petrol,80000,2490,2012
Toyota,Ist,Automatic,Petrol,29000,1500,2013
Toyota,Vitz,Automatic,Petrol,67000,1000,2012
Subaru,Forester,Automatic,Petrol,179000,2000,2000
Bmw,535i,Automatic,Petrol,76000,3000,2013
Subaru,Forester,Automatic,Petrol,79000,2000,2013
Toyota,Fielder,Automatic,Petrol,76707,1500,2013
Toyota,Porte,Automatic,Petrol,75000,1500,2013
Volkswagen,Golf,Automatic,Petrol,110000,1200,2013
Toyota,Mark x,Automatic,Petrol,26000,2400,2013
Nissan,Caravan,Automatic,Petrol,85000,2500,2013
Toyota,Land cruiser prado,Automatic,Petrol,145000,2700,2007
Toyota,Axio,Automatic,Petrol,76412,1500,2013
Honda,Cr-v,Automatic,Petrol,38075,2000,2013
Toyota,Passo,Automatic,Petrol,58000,1000,2013
Volkswagen,Golf,Automatic,Petrol,70000,1200,2013
Toyota,Vitz,Automatic,Petrol,26000,1300,2013
Toyota,Vanguard,Automatic,Petrol,73000,2390,2011
Land rover,Discovery-iv,Automatic,Diesel,76000,2700,2012
Subaru,Legacy,Automatic,Petrol,91791,2000,2013
Suzuki,Every,Automatic,Petrol,141122,650,2014
Nissan,Note,Automatic,Petrol,67000,1200,2014
Toyota,Hilux,Manual,Diesel,75688,2500,2012
Toyota,Fortuner,Automatic,Diesel,80000,3000,2012
Toyota,Hilux,Automatic,Diesel,94000,3000,2013
Mazda,Bongo,Manual,Petrol,158000,1800,2013
Mazda,Axela,Automatic,Petrol,77000,1500,2013
Toyota,Sienta,Automatic,Petrol,89000,1500,2013
Toyota,Hilux,Manual,Diesel,162000,2500,2014
Nissan,Cube,Automatic,Petrol,76000,650,2013
Toyota,Crown,Automatic,Petrol,60000,3500,2012
Nissan,Note,Automatic,Petrol,68000,1200,2012
Toyota,Hilux,Manual,Diesel,139000,3000,2014
Volkswagen,Amarok,Automatic,Diesel,81000,2000,2013
Nissan,Vanette,Manual,Petrol,46000,1800,2013
Mazda,Bongo,Manual,Petrol,181000,2000,2011
Volkswagen,Passat,Automatic,Petrol,73567,1400,2013
Mitsubishi,Outlander,Automatic,Petrol,75000,2400,2013
Subaru,Forester,Automatic,Petrol,108000,2000,2013
Toyota,Axio,Automatic,Petrol,133000,1500,2010
Nissan,March,Automatic,Petrol,89506,1000,2012
Honda,Fit,Automatic,Petrol,73000,1300,2013
Mazda,Demio,Automatic,Petrol,48000,1290,2013
Toyota,Fortuner,Automatic,Diesel,62000,3000,2013
Honda,Cr-v,Automatic,Petrol,110000,2400,2012
Nissan,X-trail,Automatic,Petrol,144000,2000,2006
Toyota,Hilux,Manual,Diesel,63000,3000,2013
Volkswagen,Tiguan,Automatic,Petrol,46000,2000,2013
Volkswagen,Passat,Automatic,Petrol,130000,1300,2013
Toyota,Alphard,Automatic,Petrol,73000,2400,2012
Mazda,Axela,Automatic,Petrol,90000,1500,2013
Toyota,Hiace,Automatic,Petrol,61830,2000,2014
Nissan,March,Automatic,Petrol,59000,1200,2012
